"name","label","concept","geography"
"B13002H_004","Estimate!!Total:!!Women who had a birth in the past 12 months:!!Unmarried (never married, widowed and divorced)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B13002H_005","Estimate!!Total:!!Women who did not have a birth in the past 12 months:","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B13002H_006","Estimate!!Total:!!Women who did not have a birth in the past 12 months:!!Now married (including separated and spouse absent)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B13002H_007","Estimate!!Total:!!Women who did not have a birth in the past 12 months:!!Unmarried (never married, widowed and divorced)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B13002I_001","Estimate!!Total:","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_002","Estimate!!Total:!!Women who had a birth in the past 12 months:","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_003","Estimate!!Total:!!Women who had a birth in the past 12 months:!!Now married (including separated and spouse absent)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_004","Estimate!!Total:!!Women who had a birth in the past 12 months:!!Unmarried (never married, widowed and divorced)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_005","Estimate!!Total:!!Women who did not have a birth in the past 12 months:","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_006","Estimate!!Total:!!Women who did not have a birth in the past 12 months:!!Now married (including separated and spouse absent)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B13002I_007","Estimate!!Total:!!Women who did not have a birth in the past 12 months:!!Unmarried (never married, widowed and divorced)","WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO)","tract"
"B14007H_001","Estimate!!Total:","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_002","Estimate!!Total:!!Enrolled in school:","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_003","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_004","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_005","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_006","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_007","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_008","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_009","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_010","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_011","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_012","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_013","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_014","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_015","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_016","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_017","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_018","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007H_019","Estimate!!Total:!!Not enrolled in school","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","block group"
"B14007I_001","Estimate!!Total:","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_002","Estimate!!Total:!!Enrolled in school:","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_003","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_004","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_005","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_006","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_007","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_008","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_009","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_010","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_011","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_012","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_013","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_014","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_015","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_016","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_017","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_018","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B14007I_019","Estimate!!Total:!!Not enrolled in school","SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO)","block group"
"B16005H_001","Estimate!!Total:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_002","Estimate!!Total:!!Native:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_003","Estimate!!Total:!!Native:!!Speak only English","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_004","Estimate!!Total:!!Native:!!Speak another language:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_005","Estimate!!Total:!!Native:!!Speak another language:!!Speak English ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_006","Estimate!!Total:!!Native:!!Speak another language:!!Speak English less than ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_007","Estimate!!Total:!!Foreign born:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_008","Estimate!!Total:!!Foreign born:!!Speak only English","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_009","Estimate!!Total:!!Foreign born:!!Speak another language:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_010","Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005H_011","Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English less than ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B16005I_001","Estimate!!Total:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_002","Estimate!!Total:!!Native:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_003","Estimate!!Total:!!Native:!!Speak only English","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_004","Estimate!!Total:!!Native:!!Speak another language:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_005","Estimate!!Total:!!Native:!!Speak another language:!!Speak English ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_006","Estimate!!Total:!!Native:!!Speak another language:!!Speak English less than ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_007","Estimate!!Total:!!Foreign born:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_008","Estimate!!Total:!!Foreign born:!!Speak only English","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_009","Estimate!!Total:!!Foreign born:!!Speak another language:","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_010","Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16005I_011","Estimate!!Total:!!Foreign born:!!Speak another language:!!Speak English less than ""very well""","NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_001","Estimate!!Total:","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_002","Estimate!!Total:!!Speak only English","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_003","Estimate!!Total:!!Speak Spanish:","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_004","Estimate!!Total:!!Speak Spanish:!!Speak English ""very well""","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_005","Estimate!!Total:!!Speak Spanish:!!Speak English ""well""","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_006","Estimate!!Total:!!Speak Spanish:!!Speak English ""not well""","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_007","Estimate!!Total:!!Speak Spanish:!!Speak English ""not at all""","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B16006_008","Estimate!!Total:!!Speak other language","LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO)","tract"
"B17001H_001","Estimate!!Total:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_002","Estimate!!Total:!!Income in the past 12 months below poverty level:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_003","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_004","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_005","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_006","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_007","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_008","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_009","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_010","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_011","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_012","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_013","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_014","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_015","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_016","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_017","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_018","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_019","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_020","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_021","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_022","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_023","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_024","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_025","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_026","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_027","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_028","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_029","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_030","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_031","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_032","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_033","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_034","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_035","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_036","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_037","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_038","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B17001H_039","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years","POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
